Ref,Value,Distributor,Part Number
C1,1p - MLCC - 50v - 0603,Mouser,603-CC603CRNPO9BN1R0
D1,LED - Yellow - 0805,Mouser,859-LTST-C171KSKT
D2,LED - Red - 0805,Mouser,859-LTST-C171KRKT
"J1,J2",PJ3200B,LCSC,C136687
"L1, L2",10uH - 0805,Mouser,80-L0805R100MPWRT
LS1,490-CMT-1203,Mouser,490-CMT-1203-SMT-TR
R1,10k - 0603,Mouser,603-AC0603FR-0710KL
"R2,R3,R5",470 - 0603,Mouser,603-RC0603FR-07470RL
R4,220 - 0603,Mouser,603-RC0603FR-07220RL
SW1,Tactile Switch. ALPS SKRK,Mouser,688-SKRKAHE010
U1,Arduino pro-micro 5v,SparkFun,DEV-12640
U2,LTV-817S,Mouser,859-LTV-817S